Fair-Trade Score,Panel Test,PackagingDatumTijdEind,Gewichtscontrole,Roosterprofiel,Cyclustijd,GrindingApparaat,Opmerkingen,Batchnr,GrindingDatumTijdEind,GrindingID,LeverancierLevertijd,Koffieboon,Registratiedatum,Benuttingsgraad,Voorraadniveaus,FillingID,Duurzaamheid Score,GrindingDatumTijdStart,FillingApparaat,PackagingApparaat,Cost,FillingDatumTijdStart,PackagingDatumTijdStart,PackagingID,ProcessTime,Herkomst,Audit van Leverancier,CO2-Footprint,Klantretourpercentage,Risicokwalificatie,FillingDatumTijdEind,Klanttevredenheid,Leveranciersbeoordeling,Laatste Audit,Defectpercentage,Energieverbruik
50,Voldoet,2020-03-31 01:29:57.060151,,Licht,4.74 uur,Grinder 2,Geen,9088,2020-03-30 22:57:37.796687,511,10 dagen,Robusta,2023-01-17,84.88%,200 units,5345,39,2020-03-30 22:29:47,Filling Machine 1,Packager 1,536.89 euros,2020-03-30 23:23:54.683727,2020-03-31 00:59:40.364870,4486,4.74 hours,Ecuador,Afgekeurd,7.34 kg CO2/kg,0.13%,Hoog,2020-03-30 23:37:46.956013,4,8.0,2023-05-22,0.42%,230.0 kWh
39,Voldoet,2020-03-13 15:13:05.832982,1.23 kg,Licht,2.79 uur,Grinder 4,Geen,6624,2020-03-13 13:25:56.338893,9999,18 dagen,Liberica,2022-03-01,91.90%,200 units,4779,54,2020-03-13 13:05:26,Filling Machine 2,Packager 3,9999999.99,2020-03-13 14:12:50.102113,2020-03-13 14:39:00.138769,2747,2.79 hours,Guatemala,Goedgekeurd,7.43 kg CO2/kg,1.63%,Matig,2020-03-13 14:29:24.173884,1,4.0,2022-06-19,1.01%,221.0 kWh
70,Voldoet,2022-06-03 22:17:09.541144,0.82 kg,Licht,3.52 uur,Grinder 5,Geen,8820,2022-06-03 19:32:02.396040,5028,16 dagen,Robusta,2020-05-03,69.00%,400 units,535,999,2022-06-03 19:16:27,Filling Machine 3,Packager 1,475.78 euros,2022-06-03 20:07:20.491133,2022-06-03 21:33:28.229882,2228,3.52 hours,Ivoorkust,Afgekeurd,9.47 kg CO2/kg,2.00%,Matig,0000-00-00 00:00:00,7,7.0,2020-10-07,2.50%,266.0 kWh
23,Voldoet,2022-11-25 03:34:10.256810,0.60 kg,Licht,5.11 uur,Grinder 3,Geen,1139,2022-11-25 01:30:03.664135,5991,13 dagen,Arabica,,82.45%,200 units,6407,49,2022-11-25 01:07:12,Filling Machine 3,Packager 3,555.36 euros,2022-11-25 02:06:09.404261,2022-11-25 02:57:45.876196,6971,5.11 hours,Burundi,Goedgekeurd,1.00 kg CO2/kg,0.34%,Matig,2022-11-25 02:22:33.576287,7,9.0,2021-12-16,3.15%,237.0 kWh
50,Voldoet,2022-09-30 04:55:25.819503,0.75 kg,Medium,4.87 uur,Grinder 2,Geen,9269,2022-09-30 02:20:20.784580,5699,18 dagen,Arabica,2020-02-22,79.50%,1000000 units,145,15,2022-09-30 02:16:21,Filling Machine 4,Packager 1,543.63 euros,2022-09-30 02:53:38.198473,2022-09-30 04:23:39.109561,8674,4.87 hours,Burundi,Goedgekeurd,,1.33%,Hoog,2022-09-30 03:14:25.084018,2,3.0,2020-08-28,0.87%,275.0 kWh
41,Voldoet,2021-03-29 07:36:49.805081,1.13 kg,Medium-Donker,2.72 uur,Grinder 1,Geen,5189,2021-03-29 05:19:27.851407,2538,18 dagen,Arabica,2023-04-12,81.04%,200 units,4391,73,2021-03-29 04:56:34,Filling Machine 2,Packager 2,435.85 euros,0000-00-00 00:00:00,2021-03-29 07:07:40.844977,5398,2.72 hours,India,Herziening vereist,,0.99%,Hoog,2021-03-29 06:20:51.706819,1,5.0,2023-12-12,1.79%,500.0 kWh
89,Voldoet,2020-09-07 07:23:41.871761,0.88 kg,Medium-Donker,3.36 uur,Grinder 4,Uitstekende kwaliteit,7084,2020-09-07 06:00:48.228991,1368,16 dagen,Excelsa,2023-08-04,81.82%,500 units,2352,49,2020-09-07 05:36:12,Filling Machine 4,Packager 2,468.13 euros,2020-09-07 06:08:51.844960,2020-09-07 07:11:25.713668,3631,3.36 hours,Ivoorkust,Herziening vereist,4.98 kg CO2/kg,0.54%,Matig,2020-09-07 06:21:51.724076,2,6.0,2024-04-29,2.57%,abc kWh
70,Voldoet,2020-12-22 07:26:42.237322,0.97 kg,Medium,5.76 uur,Grinder 2,Geen,8114,2020-12-22 05:05:54.483833,1985,17 dagen,Excelsa,2021-07-03,81.55%,500 units,7265,60,2020-12-22 04:55:05,Filling Machine 4,Packager 3,588.01 euros,onbekend,2020-12-22 06:56:40.594973,6994,5.76 hours,India,Herziening vereist,7.82 kg CO2/kg,1.31%,Laag,2020-12-22 05:56:46.400332,5,4.0,2022-05-30,1.52%,254.0 kWh
31,Voldoet niet,2021-12-02 03:43:01.454988,0.76 kg,Licht,4.23 uur,Grinder 1,Geen,7147,2021-12-02 01:28:11.347743,3958,22 dagen,Arabica,2022-07-12,78.14%,400 units,2498,57,2021-12-02 01:08:28,Filling Machine 5,Packager 4,511.63 euros,2021-12-02 02:02:21.193552,2021-12-02 03:26:37.992005,8132,???,Colombia,Afgekeurd,7.00 kg CO2/kg,1.17%,Kritiek,2021-12-02 02:21:21.192337,5,3.0,2022-12-26,2.14%,428.0 kWh
51,Voldoet gedeeltelijk,2022-07-13 08:10:31.666993,1.25 kg,Medium,4.95 uur,Grinder 2,Geen,1853,2022-07-13 05:52:22.600617,5262,9 dagen,Arabica,2023-10-08,79.03%,200 units,1433,64,2022-07-13 05:41:10,Filling Machine 2,Packager 2,547.50 euros,2022-07-13 06:36:27.324766,2022-07-13 07:49:30.142902,5665,4.95 hours,Zambia,Afgekeurd,3.46 kg CO2/kg,1.35%,Hoog,2022-07-13 06:50:49.862054,6,3.0,2024-08-01,1.72%,271.0 kWh
62,Voldoet gedeeltelijk,2022-07-03 08:03:54.417829,1.33 kg,Medium,3.80 uur,Grinder 4,Geen,1715,2022-07-03 05:58:41.602034,5210,18 dagen,Robusta,,70.31%,400 units,6480,36,2022-07-03 05:39:51,Filling Machine 3,Packager 4,489.88 euros,2022-07-03 06:30:55.434415,2022-07-03 07:24:50.884636,5572,3.80 hours,Bolivia,Herziening vereist,4.79 kg CO2/kg,1.01%,Matig,2022-07-03 06:43:48.943339,6,6.0,2023-05-12,2.62%,298.0 kWh
43,Voldoet,2020-02-12 05:48:05.353061,1.18 kg,Medium,4.31 uur,Grinder 3,Geen,9604,2020-02-12 03:46:03.432692,242,7 dagen,Robusta,2022-04-24,76.75%,100 units,6783,45,2020-02-12 03:10:13,Filling Machine 3,Packager 2,9999999.99,2020-02-12 04:24:00.188595,2020-02-12 05:09:37.728123,3625,4.31 hours,Ethiopië,Goedgekeurd,5.77 kg CO2/kg,0.63%,Matig,2020-02-12 04:40:24.571649,4,4.0,2022-11-19,2.23%,308.0 kWh
81,Voldoet,2023-03-05 08:52:36.673909,0.86 kg,Medium-Donker,4.15 uur,Grinder 5,Geen,8020,2023-03-05 06:27:30.011860,6575,17 dagen,Arabica,2020-06-11,73.12%,400 units,7348,60,2023-03-05 06:09:50,Filling Machine 1,Packager 1,507.62 euros,2023-03-05 07:06:10.633864,2023-03-05 08:31:07.288984,3091,4.15 hours,Laos,Afgekeurd,4.57 kg CO2/kg,0.00%,Matig,2023-03-05 07:23:28.142520,4,4.0,2021-06-08,0.89%,362.0 kWh
44,Voldoet,2021-10-14 20:39:28.807102,1.08 kg,Medium,3.96 uur,Grinder 1,Geen,1220,2021-10-14 18:39:58.444235,3689,16 dagen,Arabica,,67.19%,300 units,3642,29,2021-10-14 18:28:45,Filling Machine 4,Packager 3,497.91 euros,2021-10-14 19:10:39.861034,2021-10-14 20:18:05.415703,4640,3.96 hours,Jamaica,Herziening vereist,1.37 kg CO2/kg,0.14%,Zeer Hoog,2021-10-14 19:19:04.576506,4,2.0,2021-08-18,0.00%,abc kWh
36,Voldoet,2023-07-13 20:38:30.277760,0.82 kg,Medium,4.16 uur,Grinder 3,Uitstekende kwaliteit,7818,2023-07-13 18:28:32.353112,7277,12 dagen,Arabica,2023-05-10,76.08%,200 units,44,70,2023-07-13 18:02:15,Filling Machine 5,Packager 4,507.86 euros,2023-07-13 18:54:05.536335,2023-07-13 20:24:06.423327,4666,4.16 hours,Vietnam,Herziening vereist,7.31 kg CO2/kg,1.41%,Zeer Hoog,2023-07-13 19:08:37.701748,4,6.0,2024-02-23,0.00%,260.0 kWh
37,Voldoet,2020-04-30 13:09:59.668114,0.93 kg,Medium,3.92 uur,Grinder 1,Geen,4222,2020-04-30 11:10:37.589198,648,10 dagen,Robusta,2023-10-30,65.14%,400 units,1687,56,2020-04-30 10:53:08,Filling Machine 4,Packager 5,496.11 euros,2020-04-30 11:37:11.000938,2020-04-30 12:39:49.695036,4578,3.92 hours,Guatemala,Afgekeurd,6.22 kg CO2/kg,1.01%,Matig,2020-04-30 11:44:53.472341,6,6.0,2024-01-19,1.03%,392.0 kWh
75,Voldoet,2023-03-23 14:32:53.108614,0.92 kg,Medium-Donker,3.05 uur,Grinder 3,Herziening vereist,7113,2023-03-23 12:30:24.771928,6672,14 dagen,Arabica,2020-11-22,80.98%,200 units,8653,31,2023-03-23 12:04:05,Filling Machine 4,Packager 1,452.66 euros,2023-03-23 13:05:39.724774,2023-03-23 14:03:37.491785,6154,3.05 hours,Ecuador,Goedgekeurd,8.43 kg CO2/kg,1.69%,Hoog,2023-03-23 13:12:40.824180,5,9.0,2021-01-17,0.06%,263.0 kWh
48,Voldoet gedeeltelijk,2021-06-28 21:51:10.068238,0.88 kg,Medium,3.85 uur,Grinder 2,Geen,9735,2021-06-28 19:55:19.856182,3067,27 dagen,Robusta,2021-04-29,68.65%,500 units,3111,71,0000-00-00 00:00:00,Filling Machine 5,Packager 5,492.70 euros,2021-06-28 20:21:30.845760,2021-06-28 21:34:35.686568,3139,3.85 hours,Nicaragua,Afgekeurd,7.00 kg CO2/kg,0.50%,Matig,2021-06-28 20:32:05.118322,999,6.0,2022-01-25,0.72%,192.0 kWh
53,Voldoet gedeeltelijk,2020-09-15 23:41:43.207061,1.50 kg,Medium-Donker,3.02 uur,Grinder 1,Geen,8129,onbekend,1412,11 dagen,Robusta,2023-08-10,80.23%,300 units,8627,19,2020-09-15 21:05:09,Filling Machine 2,Packager 3,450.96 euros,2020-09-15 21:52:07.007268,2020-09-15 23:09:14.786645,8774,3.02 hours,Ivoorkust,Afgekeurd,2.74 kg CO2/kg,0.96%,Kritiek,2020-09-15 22:00:44.462617,5,6.0,2024-06-26,3.71%,406.0 kWh
48,Voldoet,2021-06-15 04:58:17.642857,,Licht,3.66 uur,Grinder 2,Geen,5649,2021-06-15 03:08:43.936517,2973,15 dagen,Robusta,2022-07-26,62.94%,300 units,8796,47,2021-06-15 02:41:47,Filling Machine 3,Packager 1,482.78 euros,2021-06-15 03:37:11.794793,2021-06-15 04:16:14.987332,1172,3.66 hours,Thailand,Goedgekeurd,5.65 kg CO2/kg,1.23%,Laag,2021-06-15 03:53:18.744969,4,6.0,2023-02-24,1.24%,263.0 kWh
63,Voldoet gedeeltelijk,2021-05-15 11:14:08.153755,1.08 kg,Medium,4.91 uur,Grinder 3,Geen,8635,2021-05-15 09:46:34.046903,2803,20 dagen,Excelsa,2020-10-30,83.63%,100 units,4528,82,2021-05-15 09:24:37,Filling Machine 5,Packager 2,545.64 euros,2021-05-15 10:00:42.575339,2021-05-15 10:57:16.106097,6764,4.91 hours,Brazilië,Afgekeurd,8.54 kg CO2/kg,1.15%,Kritiek,2021-05-15 10:11:39.627660,8,,2021-04-28,2.79%,317.0 kWh
19,Voldoet,2022-07-22 02:29:10.194906,,Medium,3.35 uur,Grinder 1,Geen,6975,2022-07-22 00:09:47.702399,5300,6 dagen,Excelsa,2022-07-12,76.98%,400 units,1624,51,2022-07-21 23:57:37,Filling Machine 2,Onbekend apparaat,467.55 euros,2022-07-22 00:31:41.334675,2022-07-22 02:11:51.983992,2524,3.35 hours,India,Herziening vereist,3.11 kg CO2/kg,0.39%,Matig,2022-07-22 00:45:20.771597,2,6.0,2023-03-29,3.59%,316.0 kWh
90,Voldoet niet,2023-08-27 07:47:36.247611,0.96 kg,Medium,4.03 uur,Grinder 1,Herziening vereist,3715,2023-08-27 05:53:46.667445,7499,12 dagen,Excelsa,2021-08-02,60.76%,400 units,7938,54,2023-08-27 05:43:36,Filling Machine 4,Packager 2,501.36 euros,2023-08-27 06:29:18.880872,2023-08-27 07:16:29.223527,532,4.03 hours,Kameroen,Herziening vereist,4.91 kg CO2/kg,0.58%,Hoog,2023-08-27 06:43:47.202934,3,4.0,2022-06-04,3.06%,424.0 kWh
20,Voldoet,2023-03-12 02:50:18.523843,0.81 kg,Licht,4.04 uur,Grinder 2,Geen,6660,2023-03-12 00:44:55.816746,6605,11 dagen,Arabica,2021-10-27,87.49%,500 units,6717,unknown,2023-03-12 00:33:58,Filling Machine 3,Packager 4,ERROR,2023-03-12 01:16:48.325286,2023-03-12 02:13:57.449511,7601,4.04 hours,Tanzania,Goedgekeurd,1.57 kg CO2/kg,1.70%,Hoog,2023-03-12 01:31:21.120047,5,3.0,2022-08-31,3.42%,244.0 kWh
51,Voldoet niet,2020-07-13 00:43:48.523083,0.97 kg,Licht,???,Grinder 5,Geen,3729,2020-07-12 22:35:50.631219,1065,16 dagen,Arabica,2023-10-24,81.22%,400 units,4890,45,2020-07-12 22:17:10,Filling Machine 4,Packager 2,441.68 euros,2020-07-12 23:04:16.243920,2020-07-13 00:23:37.441875,8214,2.83 hours,Angola,Goedgekeurd,8.27 kg CO2/kg,0.05%,Hoog,2020-07-12 23:25:03.111060,onbekend,5.0,2024-10-04,2.14%,311.0 kWh
6,Voldoet,2021-07-15 09:45:58.790788,0.89 kg,Medium,5.03 uur,Grinder 5,Geen,6727,2021-07-15 07:34:37.543212,3163,11 dagen,Robusta,2023-05-01,63.94%,400 units,4684,75,2021-07-15 07:14:04,Filling Machine 3,Packager 3,551.58 euros,2021-07-15 08:01:47.391989,2021-07-15 09:07:24.075725,340,5.03 hours,Puerto Rico,Goedgekeurd,7.86 kg CO2/kg,0.02%,Laag,2021-07-15 08:18:28.866058,6,3.0,2023-10-27,1.06%,268.0 kWh
46,Voldoet,2021-08-17 18:16:10.867198,0.80 kg,Medium-Donker,3.44 uur,Grinder 2,Uitstekende kwaliteit,2315,2021-08-17 16:13:38.496583,3354,16 dagen,Liberica,2021-08-28,77.40%,200 units,9038,67,31-02-2025 25:61:61,Filling Machine 4,Packager 5,472.07 euros,2021-08-17 16:31:03.316737,2021-08-17 17:41:55.611296,2982,3.44 hours,Peru,Goedgekeurd,5.41 kg CO2/kg,1.75%,Laag,2021-08-17 16:46:31.684777,6,4.0,2021-10-05,1.39%,233.0 kWh
70,Voldoet,2023-10-31 20:12:10.882328,0.98 kg,Medium,3.34 uur,Grinder 4,Geen,5916,2023-10-31 18:13:10.928369,7862,19 dagen,Arabica,2022-07-30,70.50%,400 units,3582,60,2023-10-31 17:56:45,Filling Machine 3,Packager 1,466.91 euros,2023-10-31 18:44:41.741965,2023-10-31 19:38:23.133172,5900,3.34 hours,Vietnam,Goedgekeurd,2.72 kg CO2/kg,0.63%,Laag,2023-10-31 18:56:28.435710,2,5.0,2023-02-11,2.37%,216.0 kWh
77,Voldoet,2023-01-17 21:21:33.112345,1.11 kg,Medium,4.19 uur,Grinder 4,Geen,2330,2023-01-17 19:44:32.569268,6328,15 dagen,Robusta,2020-10-31,84.39%,300 units,5568,28,2023-01-17 19:07:53,Filling Machine 5,Packager 1,509.52 euros,31-02-2025 25:61:61,2023-01-17 21:02:31.848299,6587,4.19 hours,Nicaragua,Afgekeurd,10.00 kg CO2/kg,1.44%,Hoog,2023-01-17 20:02:56.318160,2,2.0,2021-03-15,0.36%,199.0 kWh
51,Voldoet niet,2020-07-28 10:23:58.551772,1.15 kg,Medium-Donker,5.15 uur,Grinder 2,Geen,9801,2020-07-28 07:46:19.992449,1147,10 dagen,Excelsa,2020-12-14,74.30%,200 units,1187,43,onbekend,Filling Machine 4,Packager 4,557.47 euros,2020-07-28 08:01:34.435781,31-02-2025 25:61:61,1818,5.15 hours,Guatemala,Herziening vereist,5.19 kg CO2/kg,1.77%,Zeer Hoog,2020-07-28 08:15:16.084447,8,6.0,2021-11-17,2.67%,169.0 kWh
10,Voldoet niet,2022-09-08 12:55:42.828879,0.99 kg,Donker,4.43 uur,Grinder 5,Geen,5364,2022-09-08 10:21:26.195856,0000,19 dagen,Arabica,2020-07-23,68.61%,100 units,8345,60,2022-09-08 09:57:32,Filling Machine 1,Packager 1,521.61 euros,2022-09-08 10:56:09.475848,2022-09-08 12:24:57.715313,8458,4.43 hours,Filipijnen,Herziening vereist,10.00 kg CO2/kg,0.87%,Laag,2022-09-08 11:10:26.327529,1,7.0,2021-03-05,2.17%,null
29,Voldoet,2020-06-28 17:13:34.942697,1.13 kg,Licht,4.53 uur,Grinder 2,Geen,6250,2020-06-28 15:50:04.708658,983,21 dagen,Arabica,2020-05-16,53.50%,300 units,6779,49,2020-06-28 15:36:46,Filling Machine 4,Packager 2,526.46 euros,2020-06-28 16:24:15.416784,2020-06-28 17:08:35.998474,8130,4.53 hours,El Salvador,Afgekeurd,2.45 kg CO2/kg,0.54%,Matig,2020-06-28 16:46:19.049712,-3,6.0,2020-11-15,3.79%,362.0 kWh
76,Voldoet,2022-08-28 07:39:15.357022,0.94 kg,Licht,3.18 uur,Grinder 3,Uitstekende kwaliteit,2396,2022-08-28 05:32:58.273954,5494,22 dagen,Robusta,2021-11-21,85.93%,100 units,5304,55,2022-08-28 05:09:13,Filling Machine 2,Packager 5,459.21 euros,2022-08-28 05:49:38.801182,0000-00-00 00:00:00,3691,3.18 hours,Vietnam,Afgekeurd,4.67 kg CO2/kg,1.95%,Matig,2022-08-28 06:04:59.857873,2,7.0,2022-09-13,3.09%,295.0 kWh
45,Voldoet,2021-09-21 12:59:19.419943,1.04 kg,Medium,4.16 uur,Grinder 2,Geen,9872,2021-09-21 10:28:15.996224,3540,22 dagen,Arabica,2020-05-19,81.60%,200 units,1307,75,2021-09-21 10:15:54,Filling Machine 3,Packager 4,508.24 euros,2021-09-21 10:53:48.938006,2021-09-21 12:07:42.964379,715,4.16 hours,Costa Rica,Goedgekeurd,5.98 kg CO2/kg,1.30%,Laag,2021-09-21 11:14:31.887551,1,5.0,2021-05-15,2.44%,316.0 kWh
60,Voldoet,2023-10-26 22:41:56.098938,1.18 kg,Medium-Donker,3.86 uur,Grinder 4,Herziening vereist,8624,2023-10-26 19:25:35.847500,7833,11 dagen,Robusta,2021-09-17,72.08%,200 units,109,42,2023-10-26 19:04:28,Filling Machine 2,Packager 1,492.85 euros,2023-10-26 20:27:40.837641,2023-10-26 22:06:32.902744,6308,3.86 hours,Costa Rica,Goedgekeurd,7.00 kg CO2/kg,1.17%,Hoog,2023-10-26 20:38:33.865355,6,3.0,2022-07-06,1.53%,223.0 kWh
38,Voldoet,2020-03-21 09:21:17.184138,1.21 kg,Medium,3.14 uur,Grinder 1,Geen,6172,2020-03-21 06:08:21.494022,458,17 dagen,Robusta,2020-12-17,86.63%,100 units,4613,34,2020-03-21 05:39:20,Filling Machine 3,Packager 2,457.19 euros,2020-03-21 06:40:36.008020,2020-03-21 08:47:56.768834,2230,3.14 hours,Ivoorkust,Goedgekeurd,6.07 kg CO2/kg,0.80%,Laag,2020-03-21 06:56:57.362309,6,5.0,2021-10-14,2.02%,410.0 kWh
49,Voldoet niet,2021-01-03 00:33:37.157549,0.67 kg,Medium,5.02 uur,Grinder 2,Geen,2876,2021-01-02 22:15:37.238689,2045,15 dagen,Liberica,2021-01-10,63.87%,100 units,5535,unknown,2021-01-02 21:53:59,Filling Machine 2,###,551.04 euros,2021-01-02 23:01:51.199483,2021-01-03 00:05:37.434277,4483,5.02 hours,Burundi,Afgekeurd,3.91 kg CO2/kg,0.63%,Zeer Hoog,2021-01-02 23:14:28.525614,1,4.0,2021-06-01,2.94%,259.0 kWh
57,Voldoet,2020-06-04 05:28:09.134776,1.16 kg,Medium,3.33 uur,Grinder 3,Geen,7338,2020-06-04 03:17:04.207886,842,17 dagen,Robusta,2022-03-14,65.07%,-999999,9084,61,2020-06-04 03:10:49,Filling Machine 5,Packager 5,466.26 euros,2020-06-04 03:53:36.508669,2020-06-04 05:23:58.374417,2779,3.33 hours,Costa Rica,Goedgekeurd,1.00 kg CO2/kg,0.49%,Laag,2020-06-04 04:07:59.584718,3,2.0,2022-11-15,3.65%,156.0 kWh
34,Voldoet,2020-06-26 04:51:54.600315,1.31 kg,Licht,4.23 uur,Grinder 4,Geen,2145,2020-06-26 02:57:03.864761,964,13 dagen,Arabica,,73.87%,100 units,184,51,2020-06-26 02:40:07,Filling Machine 1,Packager 2,9999999.99,2020-06-26 03:39:27.441248,2020-06-26 04:37:40.549212,8102,4.23 hours,Ecuador,Afgekeurd,6.47 kg CO2/kg,0.43%,Zeer Hoog,onbekend,4,6.0,2022-09-26,0.89%,266.0 kWh
45,Voldoet,2021-03-15 04:37:31.495826,1.20 kg,Medium,3.64 uur,Grinder 5,Geen,5046,2021-03-15 02:34:33.761138,2461,19 dagen,Robusta,2023-07-10,65.92%,300 units,6729,74,2021-03-15 02:06:33,Filling Machine 4,Packager 5,482.24 euros,2021-03-15 03:05:45.001201,2021-03-15 04:14:19.672962,4357,3.64 hours,Tanzania,Goedgekeurd,7.39 kg CO2/kg,1.68%,Matig,31-02-2025 25:61:61,10,6.0,2023-11-14,1.53%,285.0 kWh
